Date,Description,Amount,Balance,Category
09/21/2025,SAFEWAY STORE 2204,-98.99,21877.39,Groceries
09/21/2025,DUTCH BROS COFFEE,-8.34,21869.05,Coffee & Snacks
09/23/2025,EXXON MOBIL 58493020,-51.63,21817.42,Gas & Auto
09/24/2025,MCDONALD'S #382100,-33.41,21784.01,Dining Out
09/24/2025,LOCAL GRIND CAFE,-7.36,21776.65,Coffee & Snacks
09/26/2025,CARIBOU COFFEE #4820,-5.61,21771.04,Coffee & Snacks
09/27/2025,JERSEY MIKE'S #4820,-29.10,21741.94,Dining Out
09/30/2025,WHOLE FOODS MARKET #10482,-88.81,21653.13,Groceries
09/30/2025,INTEREST PAYMENT,+4.87,21658.00,Income - Interest
09/30/2025,ZELLE PAYMENT FROM M. REEVES,+175.00,21833.00,Income - Other
09/30/2025,DIRECT DEP ACME CORP PAYROLL,+2000.00,23833.00,Income - Salary
10/01/2025,WEGMANS #0041,-91.28,23741.72,Groceries
10/01/2025,MCDONALD'S #382100,-32.45,23709.27,Dining Out
10/01/2025,LOCAL GRIND CAFE,-6.18,23703.09,Coffee & Snacks
10/02/2025,CITY VIEW PROPERTIES LLC - RENT,-1000.00,22703.09,Rent
10/03/2025,BP #82347100,-50.81,22652.28,Gas & Auto
10/04/2025,EXXON MOBIL 58493020,-64.89,22587.39,Gas & Auto
10/04/2025,CARIBOU COFFEE #4820,-6.14,22581.25,Coffee & Snacks
10/07/2025,CHEWY.COM ORDER,-52.99,22528.26,Online Shopping
10/08/2025,JERSEY MIKE'S #4820,-41.78,22486.48,Dining Out
10/10/2025,SWEETGREEN #0482,-39.33,22447.15,Dining Out
10/10/2025,STARBUCKS #12043,-7.55,22439.60,Coffee & Snacks
10/11/2025,METRO ELECTRIC CO AUTO-PAY,-65.45,22374.15,Utilities
10/12/2025,CARIBOU COFFEE #4820,-8.39,22365.76,Coffee & Snacks
10/13/2025,PANERA BREAD #32940,-32.17,22333.59,Dining Out
10/14/2025,ALDI #172,-68.90,22264.69,Groceries
10/14/2025,WALGREENS #048210,-25.95,22238.74,Health & Pharmacy
10/15/2025,JERSEY MIKE'S #4820,-46.97,22191.77,Dining Out
10/15/2025,DIRECT DEP ACME CORP PAYROLL,+2000.00,24191.77,Income - Salary
10/16/2025,BUFFALO WILD WINGS #4821,-19.35,24172.42,Dining Out
10/16/2025,NETFLIX.COM 866-579-7172,-18.00,24154.42,Subscriptions
10/17/2025,STARBUCKS #12043,-7.99,24146.43,Coffee & Snacks
10/18/2025,PUBLIX SUPER MARKETS #0937,-80.88,24065.55,Groceries
10/18/2025,PEET'S COFFEE #2044,-5.35,24060.20,Coffee & Snacks
10/22/2025,CARIBOU COFFEE #4820,-5.71,24054.49,Coffee & Snacks
10/23/2025,CHIPOTLE MEXICAN GRILL #2847,-17.18,24037.31,Dining Out
10/25/2025,CHICK-FIL-A #028470,-21.43,24015.88,Dining Out
10/25/2025,DUNKIN #880321,-8.21,24007.67,Coffee & Snacks
10/27/2025,SAFEWAY STORE 2204,-99.02,23908.65,Groceries
10/27/2025,STARBUCKS STORE #04821,-6.57,23902.08,Coffee & Snacks
10/28/2025,STARBUCKS #12043,-7.49,23894.59,Coffee & Snacks
10/31/2025,SPIRIT HALLOWEEN #4820,-48.75,23845.84,Shopping
10/31/2025,OLIVE GARDEN #28470,-15.55,23830.29,Dining Out
10/31/2025,DIRECT DEP ACME CORP PAYROLL,+2000.00,25830.29,Income - Salary
11/03/2025,CITY VIEW PROPERTIES LLC - RENT,-1000.00,24830.29,Rent
11/04/2025,PUBLIX SUPER MARKETS #0937,-82.77,24747.52,Groceries
11/04/2025,STARBUCKS #12043,-6.07,24741.45,Coffee & Snacks
11/05/2025,SAFEWAY STORE 2204,-94.46,24646.99,Groceries
11/05/2025,EBAY*USER4821024,-22.00,24624.99,Online Shopping
11/05/2025,DUTCH BROS COFFEE,-6.87,24618.12,Coffee & Snacks
11/07/2025,TARGET.COM,-41.25,24576.87,Online Shopping
11/07/2025,SUBWAY #482910,-22.50,24554.37,Dining Out
11/08/2025,PANERA BREAD #32940,-39.39,24514.98,Dining Out
11/10/2025,APPLEBEE'S #28470,-38.77,24476.21,Dining Out
11/10/2025,DUTCH BROS COFFEE,-6.29,24469.92,Coffee & Snacks
11/11/2025,METRO ELECTRIC CO AUTO-PAY,-68.28,24401.64,Utilities
11/11/2025,OLIVE GARDEN #28470,-30.94,24370.70,Dining Out
11/11/2025,STARBUCKS #12043,-4.79,24365.91,Coffee & Snacks
11/12/2025,STARBUCKS STORE #04821,-7.59,24358.32,Coffee & Snacks
11/15/2025,DUTCH BROS COFFEE,-6.43,24351.89,Coffee & Snacks
11/15/2025,PAYPAL TRANSFER FREELANCE,+250.00,24601.89,Income - Other
11/15/2025,DIRECT DEP ACME CORP PAYROLL,+2000.00,26601.89,Income - Salary
11/16/2025,GIANT FOOD #0482,-71.96,26529.93,Groceries
11/18/2025,EXXON MOBIL 58493020,-54.50,26475.43,Gas & Auto
11/19/2025,STARBUCKS STORE #04821,-8.00,26467.43,Coffee & Snacks
11/20/2025,FIVE GUYS BURGERS #4821,-32.52,26434.91,Dining Out
11/20/2025,NETFLIX.COM 866-579-7172,-18.00,26416.91,Subscriptions
11/20/2025,DUNKIN #880321,-5.06,26411.85,Coffee & Snacks
11/21/2025,PUBLIX SUPER MARKETS #0937,-83.88,26327.97,Groceries
11/21/2025,LOCAL GRIND CAFE,-4.82,26323.15,Coffee & Snacks
11/22/2025,STARBUCKS STORE #04821,-6.74,26316.41,Coffee & Snacks
11/24/2025,CHIPOTLE MEXICAN GRILL #2847,-46.77,26269.64,Dining Out
11/24/2025,CARIBOU COFFEE #4820,-7.64,26262.00,Coffee & Snacks
11/25/2025,OUTBACK STEAKHOUSE #1840,-28.29,26233.71,Dining Out
11/25/2025,STARBUCKS STORE #04821,-6.83,26226.88,Coffee & Snacks
11/27/2025,WALMART SUPERCENTER #4821,-112.43,26114.45,Shopping
11/27/2025,SHELL OIL 57492840,-60.13,26054.32,Gas & Auto
11/28/2025,STARBUCKS STORE #04821,-5.39,26048.93,Coffee & Snacks
11/29/2025,OLIVE GARDEN #28470,-32.99,26015.94,Dining Out
